symbol,name,sector,industry,market_cap_b
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,205.19
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,199.93
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,198.56
ADI,"Analog Devices, Inc.",Technology,Semiconductors,193.46
SNDK,Sandisk Corporation,Technology,Computer Hardware,184.1
DIS,The Walt Disney Company,Communication Services,Entertainment,180.62
T,AT&T Inc.,Communication Services,Telecom Services,179.96
BA,The Boeing Company,Industrials,Aerospace & Defense,178.65
APH,Amphenol Corporation,Technology,Electronic Components,176.71
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,176.69
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,175.49
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,173.42
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,173.39
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,166.93
SHOP,Shopify Inc.,Technology,Software - Application,165.32
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,164.75
BLK,"BlackRock, Inc.",Financial Services,Asset Management,163.9
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,163.19
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,162.08
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,161.27
APP,AppLovin Corporation,Communication Services,Advertising Agencies,159.16
UNP,Union Pacific Corporation,Industrials,Railroads,157.67
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,155.53
ABT,Abbott Laboratories,Healthcare,Medical Devices,154.73
WDC,Western Digital Corporation,Technology,Computer Hardware,154.1
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,152.85
UBER,"Uber Technologies, Inc.",Technology,Software - Application,152.22
BX,Blackstone Inc.,Financial Services,Asset Management,151.93
CRM,"Salesforce, Inc.",Technology,Software - Application,151.59
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,149.75
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,149.55
COP,ConocoPhillips,Energy,Oil & Gas E&P,149.44
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,143.68
PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,139.28
GLW,Corning Incorporated,Technology,Electronic Components,138.66
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Capital Markets,138.45
DELL,Dell Technologies Inc.,Technology,Computer Hardware,134.51
HON,Honeywell International Inc.,Industrials,Conglomerates,134.03
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,130.48
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,129.95
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,128.71
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,127.07
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,126.52
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,125.67
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,123.22
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,123.19
COF,Capital One Financial Corporation,Financial Services,Credit Services,121.02
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,119.94
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,119.73
NEM,Newmont Corporation,Basic Materials,Gold,117.6
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,117.49
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,117.15
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,116.13
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,114.12
SYK,Stryker Corporation,Healthcare,Medical Devices,112.83
INTU,Intuit Inc.,Technology,Software - Application,112.66
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,111.98
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,110.83
ACN,Accenture plc,Technology,Information Technology Services,110.7
SO,The Southern Company,Utilities,Utilities - Regulated Electric,108.75
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,108.69
TT,Trane Technologies plc,Industrials,Building Products & Equipment,107.43
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,106.78
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,105.04
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,104.05
MDT,Medtronic plc,Healthcare,Medical Devices,101.45
ADBE,Adobe Inc.,Technology,Software - Application,100.1
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,99.53
MCK,McKesson Corporation,Healthcare,Medical Distribution,99.34
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,96.98
KKR,KKR & Co. Inc.,Financial Services,Asset Management,96.6
CMCSA,Comcast Corporation,Communication Services,Telecom Services,96.08
NOW,"ServiceNow, Inc.",Technology,Software - Application,95.91
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,95.05
